,agency_name,agency_url,award_number,award_title,res_id,res_title
0,National Science Foundation,http://www.nsf.gov/awardsearch/showAward?AWD_ID=0610075,CBET - 0610075,"Tools for Environmental Observatory Design and Implementation: Sensor Networks, Dynamic Bayesian Nutrient Flux Modeling, and Cyberinfrastructure Advancement",1a25b11fa1354773b6edb9495e754f4e,"Water Temperature in the Little Bear River at Mendon Road near Mendon, UT"
1,EPA,,,Clean Water Act 319 ,99a170544d2741ac983a1f25b2f38451,Turbidity and Sediment Monitoring 
2,"Anchor QEA, LLC",http://www.anchorqea.com/aqj/,RCO #15-1479,Refined Estimates of Changing Hydrology in the Chehalis Basin,05374e83f5a4443a88f394658c4a7d00,Effect of Climate Change on the Hydrology of the Chehalis basin
3,NSF,,,,1862e01231ca4bfeb09d470a5afb59db,Landlab flexure tutorial - 02Jun16
4,Anchor,,,,b27a6b3c449e4974bb654eaec8c7f093,Chehalis Basin DHSVM
5,Ecology,,,,b27a6b3c449e4974bb654eaec8c7f093,Chehalis Basin DHSVM
6,NSF,,,,46a2c163581e488fac158e79624d554e,Tutorial for Reading DEM into Landlab
7,National Science Foundation,http://www.nsf.gov,ACI-1148453,Collaborative Research: SI2-SSI: An Interactive Software Infrastructure for Sustaining Collaborative Community Innovation in the Hydrologic Sciences,2adee16a5b0d4df0b5e687046be8515e,Logan River Geography
8,NSF,,,,5044ef2e0f6d46c1922b238cdaa83595,CONTUS Groundwater Model at county-scale
9,SNSF,http://www.snf.ch/en/Pages/default.aspx,P2LAP2_161876,Early Postdoc.Mobility,5044ef2e0f6d46c1922b238cdaa83595,CONTUS Groundwater Model at county-scale
10,National Science Foundation,http://www.nsf.gov/funding/aboutfunding.jsp,1336725,CBET Environmental Sustainability Program,0e49df4b97f94247a8d52bac4adeb14a,Thunder Creek Landlab Landslide Example
11,National Science Foundation,http://www.nsf.gov/,ACI-1148453,Collaborative Research: SI2-SSI: An Interactive Software Infrastructure for Sustaining Collaborative Community Innovation in the Hydrologic Sciences,5ec2617d7dc84c90a7e596d67846a40a,Share and Publish your Data and Models with HydroShare
12,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion Hydro-sustainability,1d4bb231529d407f93f724f8289d55ca,Survey of Stormwater Managers in Utah
13,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion Hydro-sustainability,dd1a2ffbc2e4422682a3fbd552620c32,iUTAH GAMUT Network Raw Data at Knowlton Fork Basic Aquatic Site (RB_KF_BA)
14,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,6612b5beff044810b83d56c4db451a85,Biofilm response to nutrient enrichment in urbanizing streams: nutrient diffusing substrate bioassay
15,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,0349a880d0eb499082573aeaa8cfbe48,Utah Board of Water Resources Database
16,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,094da7d9400f493fb1e412df015e17a4,Utah Municipalities Stormwater Annual Reports
17,Manitoba Land Initiative,,,,6be7b304e0ca4ae7a046647b07e851af,NCC Tall Grass Prairie Interpretive Centre AOI
18,Nature Conservancy Canada,,,,6be7b304e0ca4ae7a046647b07e851af,NCC Tall Grass Prairie Interpretive Centre AOI
